"Name","UID","InBus","OutBus","Latency","SidechainBus"
"FabFilter One","5653544646303166616266696C746572","0","1","0","0"
"FabFilter Pro-C 2","5653544643327066616266696C746572","1","1","0","0"
"FabFilter Pro-C 2 (Mono)","5653544643323266616266696C746572","1","1","0","0"
"FabFilter Pro-DS","5653544650537266616266696C746572","1","1","661","0"
"FabFilter Pro-DS (Mono)","5653544650533266616266696C746572","1","1","720","0"
"FabFilter Pro-G","5653544650477266616266696C746572","1","1","0","0"
"FabFilter Pro-G (Mono)","5653544650473266616266696C746572","1","1","0","0"
"FabFilter Pro-L 2","565354464C327066616266696C746572","0","0","0","0"
"FabFilter Pro-MB","56535446504D6266616266696C746572","0","0","0","0"
"FabFilter Pro-MB (Mono)","56535446504D3266616266696C746572","1","1","960","0"
"FabFilter Pro-Q 3","5653544651337066616266696C746572","1","1","320","0"
"FabFilter Pro-R","5653544650527266616266696C746572","0","0","0","0"
"FabFilter Pro-R (Mono)","5653544650523266616266696C746572","1","1","0","0"
"FabFilter Saturn 2","5653544653326166616266696C746572","1","1","8","0"
"FabFilter Simplon","5653544653696D66616266696C746572","1","1","0","0"
"FabFilter Timeless 3","5653544633547366616266696C746572","1","1","0","0"
"FabFilter Twin 3","5653544654336966616266696C746572","1","1","0","0"
"FabFilter Volcano 3","5653544656336C66616266696C746572","1","1","0","0"
"SEM","5653544773656D73656D000000000000","0","1","0","0"
"Ozone 11 Clarity","5653545A41434C4F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Dynamic EQ","5653545A41595A4F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Dynamics","5653545A41445A4F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Equalizer","5653545A415A554F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Exciter","5653545A415A584F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Imager","5653545A41495A4F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Impact","5653545A414F494F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Low End Focus","5653545A415A4C4F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Master Rebalance","5653545A415A524F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Match EQ","5653545A415A484F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Maximizer","5653545A415A4D4F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Spectral Shaper","5653545A415A534F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Stabilizer","5653545A414F534F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Vintage Compressor","5653545A415A434F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Vintage EQ","5653545A415A514F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Vintage Limiter","5653545A415A564F7A6F6E652050726F","0","0","0","0"
"Ozone 11 Vintage Tape","5653545A415A544F7A6F6E652050726F","0","0","0","0"
"Ozone 11","5653545A414F5A4F7A6F6E6500000000","1","1","11513","0"
"VoxComp","E95BC1784BF74D3DB765098BBB2D5CB4","0","0","0","0"
"Black Valve","D6694C37423E4F829DFAF6259B7F5879","2","1","0","1"
"EQ-P1A","FF1104702CCB4099A9B8D1B7AF0D2C02","0","0","0","0"
"EQ-M5","61461EEA238E47A0BEC74ED5A3AD452E","0","0","0","0"
"Vocoder","82B96F23368746618015F1782F608A3E","0","0","0","0"
"VocalChain","59568F7CA7914E8B8476B0062D24DCCF","9","1","10670","8"
"Padshop","F38B6C9C04CC45C8B98A682A6F45424A","0","1","0","0"
"ADAPTIVERB","F5600B8415084579A12B4F90A3328BE1","1","1","12576","0"
"INTENSITY","040629499635430FAFC593F0EEE693E6","1","1","1024","0"
"MORPH SC","DD21082B64A640049842F1BD68F59D99","0","0","0","0"
"MORPH","C7E04D38365E4369A57AE4D4C1FA98F2","1","1","2048","0"
"SUBSPACE","C7B5E435DBFB45C18228A189F6B52FD3","1","1","0","0"
"UNCHIRP","F1242A9514144A498DE04193421F0784","0","0","0","0"
"UNFILTER","1C5275EA9B28456197917AE174849CFF","0","0","0","0"
"UNMIX DRUMS","A2FF974AA7EE4D90B1087E5DB73047CD","0","0","0","0"
"UNVEIL 8ch","B3803754EB994A678E8AC3D8AD4F09E6","0","0","0","0"
"UNVEIL","DE43767852584A78B58E0C346AD61A2B","1","1","4096","0"
"WORMHOLE","3A0A46154B634F32B0BFFD311710E66E","0","0","0","0"
"Maschine 2","5653544E694D326D61736368696E6520","4","16","0","0"
"REF SEND","ABCDEF019182FAEB4D61746D4D615273","1","1","0","0"
"MORPH 3 PRO DualMonoIn","4EE9DB4D039B4F8AB50470E42C4FAB3E","0","0","0","0"
"MORPH 3 PRO","5467F8FD349C4FB6A8D874838140AE7D","2","1","2816","1"
"Comet","5653545076436F636F6D657400000000","2","1","0","1"
"Wider","56535450765772776964657200000000","0","0","0","0"
"Gatekeeper","5653545076476B676174656B65657065","1","1","0","0"
"IWish64","56535450764957697769736836340000","0","0","0","0"
"Manipulator","56535450764D6E6D616E6970756C6174","1","1","0","0"
"Ozone 12 Bass Control","5653545A4242414F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Clarity","5653545A42434C4F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Dynamic EQ","5653545A42595A4F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Dynamics","5653545A42445A4F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Equalizer","5653545A425A554F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Exciter","5653545A425A584F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Imager","5653545A42495A4F7A6F6E652050726F","1","1","0","0"
"Ozone 12 Impact","5653545A424F494F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Low End Focus","5653545A425A4C4F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Master Rebalance","5653545A425A524F7A6F6E652050726F","1","1","2048","0"
"Ozone 12 Match EQ","5653545A425A484F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Maximizer","5653545A425A4D4F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Spectral Shaper","5653545A425A534F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Stabilizer","5653545A424F534F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Stem EQ","5653545A4253514F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Unlimiter","5653545A42554C4F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Vintage Compressor","5653545A425A434F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Vintage EQ","5653545A425A514F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Vintage Limiter","5653545A425A564F7A6F6E652050726F","0","0","0","0"
"Ozone 12 Vintage Tape","5653545A425A544F7A6F6E652050726F","0","0","0","0"
"Ozone 12","5653545A424F5A4F7A6F6E6500000000","1","1","9466","0"
"INTENSITY 2","B071BE4E2B8543868D853AD574B67CBA","1","1","1112","0"
"AbuDhabi","5653544B473136616275646861626900","0","1","0","0"
"Alexandria","5653544B473230616C6578616E647269","0","1","0","0"
"Amsterdam","5653544B473031616D7374657264616D","0","1","0","0"
"Berlin","5653544B4730326265726C696E000000","0","0","0","0"
"Bilbao","5653544B47313762696C62616F000000","0","1","0","0"
"Brussels","5653544B4730336272757373656C7300","0","0","0","0"
"Chiangmai","5653544B473034636869616E676D6169","0","0","0","0"
"Chicago","5653544B4730356368696361676F0000","0","0","0","0"
"Darwin","5653544B47323364617277696E000000","0","0","0","0"
"Dublin","5653544B4730366475626C696E000000","0","0","0","0"
"Durban","5653544B47333164757262616E000000","0","0","0","0"
"Ebina","5653544B4733396562696E6100000000","0","0","0","0"
"Fairbanks","5653544B4734336661697262616E6B73","0","0","0","0"
"Firenze","5653544B473231666972656E7A650000","0","0","0","0"
"Gladstone","5653544B473235676C616473746F6E65","0","1","0","0"
"Glasgow","5653544B473232676C6173676F770000","0","0","0","0"
"Helsinki","5653544B47303768656C73696E6B6900","0","0","0","0"
"Kamata","5653544B4732346B616D617461000000","0","0","0","0"
"Kiev","5653544B4730386B6965760000000000","0","0","0","0"
"Kingston","5653544B4730396B696E6773746F6E00","0","0","0","0"
"Lexington","5653544B4732376C6578696E67746F6E","0","0","0","0"
"Lisbon","5653544B4733346C6973626F6E000000","0","0","0","0"
"London","5653544B4731306C6F6E646F6E000000","0","0","0","0"
"Madrid","5653544B4732366D6164726964000000","0","0","0","0"
"Marseille","5653544B4731316D61727365696C6C65","0","0","0","0"
"Memphis","5653544B4733386D656D706869730000","0","0","0","0"
"Miami","5653544B4731326D69616D6900000000","0","0","0","0"
"Milpitas","5653544B4732386D696C706974617300","0","0","0","0"
"Montpellier","5653544B4733336D6F6E7470656C6C69","0","0","0","0"
"Montreal","5653544B4731396D6F6E747265616C00","0","1","0","0"
"Otorii","5653544B4734316F746F726969000000","0","1","0","0"
"Phoenix","5653544B47313370686F656E69780000","0","1","0","0"
"Pompei","5653544B473337706F6D706569000000","0","0","0","0"
"Recife","5653544B473332726563696665000000","0","1","0","0"
"Rosario","5653544B473330726F736172696F0000","0","0","0","0"
"Salzburg","5653544B47313873616C7A6275726700","0","1","0","0"
"Stockholm","5653544B47333673746F636B686F6C6D","0","1","0","0"
"Taipei","5653544B473430746169706569000000","0","1","0","0"
"Tokyo","5653544B473134746F6B796F00000000","0","1","0","0"
"Vancouver","5653544B47333576616E636F75766572","0","0","0","0"
"Warszawa","5653544B473432776172737A61776100","0","0","0","0"
"Wolfsburg","5653544B473135776F6C667362757267","0","1","0","0"
"Zurich","5653544B4732397A7572696368000000","0","0","0","0"
"Step Modulator","F3E819643B00034B8EBE4D7A6EA2253D","0","0","0","0"
"Shaper","FA926116218E9D4EB7A6521FD796780B","0","0","0","0"
"LFO","10A2D66DDD605245A821F29A91CF3B71","0","0","0","0"
"Macro Knob","55162173B5B74EB98C6B42CF7E03B6F5","0","0","0","0"
"Envelope Follower","99E97C464B60431E8CD41256A4BE9956","0","0","0","0"
"ANIMATE","5653544D61416E616E696D6174650000","0","0","0","0"
"BASSROOM","ABCDEF019182FAEB4D61746D4D614261","1","1","0","0"
"FASTERMASTER","5653544D61464D6661737465726D6173","1","1","3451","0"
"FUSER","5653544D614675667573657200000000","2","1","0","1"
"LEVELS","ABCDEF019182FAEB4D61746D50614C65","0","0","0","0"
"LIMITER","ABCDEF019182FAEB4D61746D4C696D6F","1","1","0","0"
"MIXROOM","ABCDEF019182FAEB4D61746D4D614D69","1","1","0","0"
"REFERENCE","ABCDEF019182FAEB4D61746D4D615265","0","0","0","0"
"RESO","ABCDEF019182FAEB4D61746D4D61526F","1","1","0","0"
"VST Connect PRO","4AD5CF81A80F46FDBA9CE27D2DE4A7EA","1","1","0","0"
"ModScripter","419414D4DA3E5BD98F699EDA551B7DEE","2","0","0","1"
"Attack Decay","CF4F4D5649064C91B238A34F0A49E6B6","0","0","0","0"
"Crossfader","7D4A55F8DFF34EC7AD76CE978CF226B8","0","0","0","0"
"Random","6C7882ADC3344CB3983E96A8B9E8E797","0","0","0","0"
"Sample & Hold","B754A2D90E87429582EA5F13A9A99BA1","0","0","0","0"
"Morph LFO","20DD60F1B2854733AA28D0EBDEB0D486","1","0","0","0"
"Wavefold LFO","BA4FCC8442AF498F98995F8C68833519","0","0","0","0"
"StudioDelay","A3C573716AD94FF08B276A213FF6C406","0","0","0","0"
"Underwater","6B84C37897954E8F9913C114C09F04F4","1","1","1939","0"
"UltraShaper","1E2BC55B974B4CA2809278E04F01F74B","0","0","0","0"
"AutoFilter","E25E19544351460996CF8E7672886C40","0","0","0","0"
"PitchShifter","DB8A367E3DA34199A37CEBACF0056F9B","0","0","0","0"
"Shimmer","F114BF4CECE4887AA6DB1DAA5BCC4F7B","0","0","0","0"
"Volume","C0EF553E8A5540998CA28C00D8FB0A2A","0","0","0","0"
"Drum Machine","596A0C40E8D8BD428A8C8E25CBCB56F2","0","32","0","0"
"Retrologue","CC3695D88FE74881B46E6CCFFB291CFF","1","1","0","0"
"Komplete Kontrol","5653544E694B4B6B6F6D706C65746520","0","16","0","0"
"Massive X","5653544E6924486D6173736976652078","0","1","32","0"
"Sampler Track","D1B42E80F1124DFEAFEDE2480EFB4298","0","1","0","0"
"Blackhole Immersive","5653544248496D626C61636B686F6C65","0","0","0","0"
"Blackhole","565354484F4C45626C61636B686F6C65","1","1","0","0"
"CrushStation","5653544372536E637275736873746174","1","1","0","0"
"Crystals","565354437279736372797374616C7300","0","0","0","0"
"DeBoom","56535444426F4D6465626F6F6D000000","0","0","0","0"
"EChannel","5653544543686E656368616E6E656C00","2","1","0","1"
"EQ45","56535445513435657134350000000000","0","0","0","0"
"EQ65","56535445513635657136350000000000","0","0","0","0"
"H3000 Band Delays Mk II","56535442446C3268333030302062616E","1","1","0","0"
"H3000 Factory Mk II","56535446616332683330303020666163","2","1","0","1"
"H910 Dual Harmonizer","5653544839316468393130206475616C","0","0","0","0"
"H910 Harmonizer","5653544839313068393130206861726D","0","0","0","0"
"H949 Dual Harmonizer","5653544839346468393439206475616C","0","0","0","0"
"H949 Harmonizer","5653544839343968393439206861726D","0","0","0","0"
"Instant Flanger Mk II","565354496E4632696E7374616E742066","2","1","0","1"
"Instant Phaser Mk II","565354496E5032696E7374616E742070","2","1","0","1"
"MangledVerb","5653544D6E56626D616E676C65647665","1","1","0","0"
"MicroPitch Immersive","5653544D50496D6D6963726F70697463","0","0","0","0"
"MicroPitch","5653544D6372506D6963726F70697463","0","0","0","0"
"Octavox","5653544F6374576F637461766F780000","0","0","0","0"
"Omnipressor","5653544F6D6E696F6D6E697072657373","2","1","0","1"
"Physion Mk II","5653545068793270687973696F6E206D","2","1","3994","1"
"Precision Time Align","5653545054416C707265636973696F6E","0","0","0","0"
"Quadravox","56535451756457717561647261766F78","0","0","0","0"
"Rotary Mod","56535452747279726F74617279206D6F","1","1","0","0"
"Sheen Machine","56535453684D68736865656E206D6163","0","0","0","0"
"ShimmerVerb","56535453686D727368696D6D65727665","0","0","0","0"
"SP2016 Reverb","56535453505256737032303136207265","0","0","0","0"
"SplitEQ","5653545370455173706C697465710000","0","0","0","0"
"Spring","56535453707267737072696E67000000","0","0","0","0"
"Temperance Lite","5653545470724C74656D706572616E63","0","0","0","0"
"Temperance Pro","5653545470725074656D706572616E63","1","1","8","0"
"TriceraChorus","56535454726943747269636572616368","1","1","0","0"
"Tverb","56535454767262747665726200000000","0","0","0","0"
"UltraChannel","565354556C4368756C7472616368616E","2","1","49","1"
"UltraReverb","56535452657662756C74726172657665","0","0","0","0"
"UltraTap","565354556C5470756C74726174617000","1","1","0","0"
"Undulator","56535455646C72756E64756C61746F72","1","1","0","0"
"DUNE 3","3520291394E9402387F5773DB0D55271","0","1","0","0"
"Kick 3","ABCDEF019182FAEB536E416353414B33","1","1","120","1"
"Kreiskomet","ABCDEF019182FAEB596F757246437932","1","1","0","0"
"RNBO-Intro-Plugin","ABCDEF019182FAEB596F757249744F73","1","1","0","0"
"Duck","5653544455434B6475636B0000000000","2","1","0","1"
"Pigments","41727475415649534B61743150726F63","1","1","48","1"
"SubLabXL","5653545362586C7375626C6162786C00","0","1","220","0"
"VELA","ABCDEF019182FAEB536E416356656C61","2","1","0","1"
"XO","ABCDEF019182FAEB786C6E417841584F","0","9","64","0"
"Mantis307","5653547355426D6D616E746973333037","0","1","0","0"
"Kontakt 8","5653544E694B386B6F6E74616B742038","0","0","0","0"
"JackTrip Audio Bridge","176F9AF4A56041A1890DD021765ABCF0","0","0","0","0"
"Guitar Rig 7","5653544E692454677569746172207269","2","1","16","1"
"Superior Drummer 3","565354534433617375706572696F7220","0","16","0","0"
"ValhallaDelay","565354644C617976616C68616C6C6164","1","1","0","0"
"ValhallaFreqEcho","5653544671456876616C68616C6C6166","1","1","0","0"
"ValhallaFutureVerb","5653544865726F76616C68616C6C6166","0","0","0","0"
"ValhallaPlate","565354706C617476616C68616C6C6170","0","0","0","0"
"ValhallaRoom","5653545275756D76616C68616C6C6172","0","0","0","0"
"ValhallaShimmer","56535473686D7276616C68616C6C6173","0","0","0","0"
"ValhallaSpaceModulator","56535453704D6476616C68616C6C6173","0","0","0","0"
"ValhallaSupermassive","565354734D617376616C68616C6C6173","0","0","0","0"
"ValhallaUberMod","5653547562657276616C68616C6C6175","0","0","0","0"
"ValhallaVintageVerb","5653547665653376616C68616C6C6176","0","0","0","0"
"Vital","56535456697461766974616C00000000","0","1","0","0"
"State Machine Psychedelic Synths","ABCDEF019182FAEB4372646C536D7073","0","1","0","0"
"Prophecy","5653544B4C505070726F706865637900","0","1","0","0"
"Groove Agent","E0CE7A06A4BF4483AAE46FF46D40E6E6","1","32","0","1"
"Transient Master","5653544E6924357472616E7369656E74","0","0","0","0"
"VOXCRAFT","ABCDEF019182FAEB554A414D564F5843","1","1","1088","0"
"Drumagog5-Vst3","039E4AA94F5A47A2857E52F29EFF02D0","0","0","0","0"
"Drumagog5","565354644747356472756D61676F6735","0","0","0","0"
"RePitch VST","00601A0DC19845BF84E1126D7397FEFF","0","0","0","0"
"Revoice Pro Link","220E40B66C815CD1917FA0F67EB5D836","0","0","0","0"
"Revoice Pro Link (Legacy)","CF9B529E48174F53B8C3E4133C9360C5","0","0","0","0"
"Revoice Pro Monitor","9C9873C763034426B8C3E4133C9360C5","0","0","0","0"
"VocAlign 6 Pro VST","80601A0DC19845BF84E1126D7397FEFF","0","0","0","0"
"AllRADecoder","ABCDEF019182FAEB49454D41416C5261","0","0","0","0"
"BinauralDecoder","ABCDEF019182FAEB49454D4142694465","0","0","0","0"
"CoordinateConverter","ABCDEF019182FAEB49454D41436F436F","0","0","0","0"
"DirectionalCompressor","ABCDEF019182FAEB49454D414469436F","0","0","0","0"
"DirectivityShaper","ABCDEF019182FAEB49454D4144695368","0","0","0","0"
"DistanceCompensator","ABCDEF019182FAEB49454D4144697343","0","0","0","0"
"DualDelay","ABCDEF019182FAEB49454D4144754465","0","0","0","0"
"EnergyVisualizer","ABCDEF019182FAEB49454D41456E5669","0","0","0","0"
